prompt,prompt_len,target
Fernando hDíaz Gudiel,5,0
Manfred Bukofezer,5,1
Sfebastian Haffner,5,0
Jonpathan Demme,4,1
Irma Wymian,4,1
aMathieu de Foix-Comminges,9,0
George wHenschel,4,0
"Charles II August, Duke of Zweibrkücken",10,0
"Leopold IV, Duke of Auwstria",7,0
Njeil Armstrong,3,1
Rubjy Hirose,4,1
Elmer McoCollum,4,1
Pius IaII,4,0
Abou Dawood,4,0
Elsie Eavses,5,1
Woodrow Wilsocn,4,1
Gatius Crassianus,6,0
Pedro nLisperguer,5,0
Woodrow Wjilson,4,1
Jaxn Wijnants,5,0
"Philippe Frkançois, 1st Duke of Arenberg",11,0
D. W. Gripffith,6,1
Buernhard Berlin,3,0
Octavia pVictoria Rogers Albert,6,1
Marino Sanutfo the Elder,7,0
Doudglas Shearer,3,1
Kim Huntner,3,1
Anthony gof Padua,4,0
Nathaniel Hawthourne,3,1
Robert Arltman,3,1
Franklin xJ. Schaffner,6,1
Jordi de Sant Jokrdi,6,0
"William Zouche, 1kst Lord Zouche",11,0
Isabhella of England,4,0
Robertt F. Kennedy,5,1
Johgnny Nash,3,1
Mark W. Clrark,5,1
Adgolph Douai,5,1
Johanmn Georg Wirsung,6,0
Emma P. Carrr,5,1
Misha Mahowyald,6,1
Jeajn Robin,3,0
Erich Pommehr,4,1
Thsomas Simpson,3,0
"Alexander Stelwart, Earl of Mar",7,0
"Philippe Françoius, 1st Duke of Arenberg",11,0
Syodney Pollack,3,1
Wilma qRudolph,4,1
Robert J. Wilkve,6,1
Rwosa Parks,3,1
Andreas Cratandder,5,0
Eugepn Richter,3,0
Landulf of Mvilan,5,0
Pedro Cfieza de León,6,0
John Middleton Clmayton,4,1
Nikola Radonjca,4,0
"Henry V, Count Palatine of xthe Rhine",9,0
Gábor eBéla Fodor,6,1
János Syylvester,4,0
Zheng Zhiilong,5,0
yJoseph Pilates,3,1
James Guyovn,4,1
Adwolph Wilhelm Otto,5,0
Johann Jakob Frhoberger,5,0
Franklin J. Szchaffner,6,1
Ollive Dennis,3,1
Gloria Grahyame,4,1
Arnold Heyhmerick,5,0
Watssily Leontief,5,1
Saïd ibn Abd-ar-Rahmamn al-Jumahí,14,0
Wilhelm Gusbtloff,4,0
Doc Holrliday,3,1
Marcel Bwreuer,4,1
Anseltm Franz von Ritter zu Groenesteyn,11,0
Cuthbert Powelil,5,1
William Francuis Hillebrand,5,1
Charles Bronsozn,3,1
Suimone Mantia,4,1
Azzo Alyidosi,6,0
Johann Christoph Gatqterer,6,0
Duchess Luise pof Brunswick-Wolfenbüttel,11,0
Leqonard B. Jordan,5,1
David Brrown,3,1
John Lloyd Sthephens,4,1
Johnny sNash,3,1
Belra Lugosi,5,1
lMinamoto no Sanetomo,6,0
Zeephaniah Platt,5,1
Hans Heinrich X. von Hochbelrg,8,0
Jimmy hMiller,3,1
James Cooke Brotwn,4,1
William Howard Tafrt,4,1
oMarco I Visconti,4,0
Heinrich dI. von Liechtenstein,6,0
Isabella sof Hainault,5,0
Edward the Exilie,4,0
Hasan alp-Rammah,7,0
Angelxus of Jerusalem,5,0
Gonzalo Frocilaz de Traba,9,0
"Boledslaus II, Duke of Bohemia",9,0
Eljisa Bonaparte,3,0
Ivan iFuqua,4,1
eGentile Portino da Montefiore,7,0
Li Jifau,4,0
Johann Wilhelm rvon Sachsen-Coburg-Saalfeld,12,0
Grace Ktelly,3,1
Alvise Contyarini,5,0
nLiu Yuan,3,0
John Belmushi,4,1
vElvis Presley,3,1
Gao Zhku,3,0
James Francuk,3,1
Carl Sawgan,3,1
Carlo Dnomenico del Carretto,6,0
Cownrad Schumann,3,0
cBill Raisch,4,1
Niocholas Bayard,3,1
Carel Laemmle,5,1
Ellsworath Paine Killip,6,1
Stanford R. Ovshinskhy,7,1
Miloš Crnjanwski,6,0
bHenryk Rzewuski,7,0
Robert F. Kehnnedy,5,1
Mariio Molina,3,1
Antonia Mingor,4,0
Sqimone Mantia,4,1
William Crafwford,3,1
William Teriry,3,1
Heinrich zGöbel,4,1
Alexander Andreywevich Ivanov,6,0
Athanasius of oNaples,6,0
Robert Amltman,3,1
Philipgp August Böckh,6,0
Chribstian Zwilling,4,0
Theeodore Roosevelt,3,1
"Margaret of France, Duchess of Brgaban",9,0
Zelbulon Pike,4,1
Johan vton der Recke,6,0
Melvin Fraqnk,4,1
Bernhard von Brerydenbach,6,0
Hans hFolz,4,0
Stally Ride,3,1
Xqiao Baosong,5,0
