prompt,prompt_len,target
Métezeau Louis,5,0
Moe Margot,3,0
Müller Renate,4,0
Can Yuan,3,1
Randolph Agnes,3,0
Dewei Zhou,4,1
Yin Yang,3,1
Murat Joachim,3,1
Figl Leopold,4,1
I Charibert,5,0
Ichijō Nobuyoshi,7,0
Cluentius Lucius,6,0
Yan Lu,3,1
Doroshenko Petro,5,1
III Nicholas,3,0
Schultz Daniel,3,0
Qi He,3,1
Iemitsu Tokugawa,7,1
Gesenius Justus,5,0
Stapleton Miles,3,1
Urbani Ludovico,5,0
Brüning Adolf,4,1
Hansemann David,5,1
Kutuzov Mikhail,5,1
Rhode Franz,3,0
Caro Annibale,5,0
Trolle Herluf,6,0
Shiyijian Tuoba,7,1
Fitzwalter Robert,4,1
Jian Han,3,1
Shunzhi Hu,4,1
Varnbüler Ulrich,6,1
Alciato Andrea,4,0
IV John,3,1
Ying Xiahou,4,1
Shiji Yuwen,5,1
Manuel Juana,4,0
III Lothair,5,0
Füetrer Ulrich,5,0
Isenbrandt Adriaen,7,0
Minckwitz Johannes,5,0
Nattier Jean-Marc,6,0
Hang Choe,4,1
I Dirk,3,0
Kulagina Ninel,5,0
Rocard Michel,4,1
Sharpe Peter,3,1
Grimaldi Augustine,5,1
Youde Fu,4,1
Mahudel Nicholas,5,0
Jiancheng Li,4,1
Bian Xue,4,1
Jie Li,3,0
VII Urban,3,1
Hong Gongsun,4,1
Jing Yuan,3,1
Zumel Francisco,4,0
Fitzgerald Ella,3,0
Komnene Maria,4,1
Xiyi Lin,4,0
Yizhong Yao,5,0
Da Meng,3,1
Aulock Karl,4,0
He Zheng,3,1
Newton Thomas,3,0
Paoli Pasquale,5,1
Paul Jean,3,0
Suchywilk Janusz,6,1
Magnusson Inge,5,1
III Indra,4,1
Jiàn Fú,5,1
Hong Yang,3,1
Bogolyubsky Andrey,6,0
Jurine Louis,4,0
Erskine Margaret,3,1
Brever Johann,4,0
Jinan Prince,4,1
Lun Cai,3,1
I Anastasius,5,1
Frederick Ernest,3,0
Coke Edward,3,1
Caracciolo Galeazzo,7,0
Graebe Kurt,4,1
Schmidt Wilhelm,3,0
Brigham Elijah,3,1
Bloet Robert,4,1
Jia Fu,3,1
Formaglini Tommaso,6,0
II. Udalrich,6,0
Gugel Bastian,5,0
Covey Suzy,5,0
De Murong,4,1
Bembo Bernardo,5,1
Marconi Guglielmo,5,0
Dashkevych Ostap,7,1
Sachs Hans,3,0
Chuo Xiao,4,0
Szamosközy István,7,0
Morozova Feodosia,7,0
Sultan Nurbanu,5,1
d’Aspre Konstantin,7,0
Himmler Heinrich,4,1
Shen Chen,3,1
Qiong Gao,4,1
Zobel Heinrich,4,1
Gui Bernard,3,0
Streibl Max,5,1
Bauer Otto,3,1
Crepyn Ralph,5,1
Dieterich Albrecht,5,0
Clive Lewis,3,0
Bucher Lothar,5,1
Teng Ma,3,1
Orlandi Rodolfo,5,1
Ricard Patrick,3,0
Dashkevych Ostap,7,1
Hao Yang,3,1
Hui Han,3,1
Burckhardt Andreas,5,1
Zápolya Barbara,5,1
Trivulzio Agostino,6,1
Weiss Bernhard,3,0
Anundsson Eric,5,1
Ritschl Albrecht,6,0
Spens James,4,1
IV Alexander,3,0
Lanz Hubert,3,1
Ortlepp Ernst,5,0
Fritzsche Hans,4,1
Guttormsson Bård,7,1
Yan Liu,3,0
III Michael,3,1
Ludwig Otto,3,0
Krummedige Henrich,6,1
Charles Balthasar,5,1
XXIII John,3,1
Da Meng,3,1
Gürtner Franz,5,1
Alharizi Yehuda,6,0
I John,3,0
Waller William,3,1
Hedio Caspar,5,0
Yi Yang,3,1
Fontebasso Francesco,5,0
Shuomao Liu,5,0
Hartmann Ludwig,3,0
I Louis,3,1
Burgdorf Wilhelm,4,0
Jin Zhuge,4,1
Chang Meng,3,0
Dudley Thomas,3,1
Dostoyevsky Fyodor,6,0
Wang Empress,4,0
Waldheim Kurt,4,1
Livia Julia,4,1
Valentine Basil,3,0
Schollaert Frans,5,1
Pavoni Antonio,4,0
Brömse Nikolaus,6,1
Silvaticus Matthaeus,8,0
Conghui Gao,5,0
Riario Girolamo,5,1
Huiji Yangshan,5,0
Dompert Alfred,4,0
Bock Hans,3,0
Nöldeke Theodor,7,0
Garzoni Giovanni,4,1
Peregrossi Pietro,5,0
Lent James,3,1
Jin Zhuge,4,1
Flesch Rosa,5,0
Ping Wang,3,1
veili Þorvaldr,7,0
Minkus Christian,4,1
Simonsson Thomas,4,0
Stelzner Friedrich,4,0
Paumgartner Erhard,6,0
Antonescu Mihai,6,1
Renner Karl,3,1
Zaisser Wilhelm,5,1
Fang Zhou,3,1
Curtin John,4,0
Bastian Adolf,3,0
Westphal Joachim,4,0
Boos Franz,4,0
Keil Ernst,3,0
